Pw_cl_graph_430000_2.2_5: nnz= 2203508, density= 1.708066790964076e-05
Pw_cl_graph_430000_2.2_6: nnz= 2276566, density= 1.7733576223000123e-05
Pw_cl_graph_430000_2.2_7: nnz= 2177636, density= 1.6930329634542293e-05
Pw_cl_graph_430000_2.2_8: nnz= 2205090, density= 1.7148077515696755e-05
Pw_cl_graph_430000_2.2_9: nnz= 2257174, density= 1.757830049370412e-05
Pw_cl_graph_440000_2.2_0: nnz= 2311110, density= 1.720374081904318e-05
Pw_cl_graph_440000_2.2_1: nnz= 2387916, density= 1.7683786656155197e-05
Pw_cl_graph_440000_2.2_2: nnz= 2231400, density= 1.658838199092333e-05
Pw_cl_graph_440000_2.2_3: nnz= 2302308, density= 1.7018399675866877e-05
Pw_cl_graph_440000_2.2_4: nnz= 2295078, density= 1.7064374053025006e-05
Pw_cl_graph_440000_2.2_5: nnz= 2203332, density= 1.642151488885676e-05
Pw_cl_graph_440000_2.2_6: nnz= 2301890, density= 1.7154853623833547e-05
Pw_cl_graph_440000_2.2_7: nnz= 2224696, density= 1.6544588129298164e-05
Pw_cl_graph_440000_2.2_8: nnz= 2302870, density= 1.7127352624523074e-05
Pw_cl_graph_440000_2.2_9: nnz= 2281532, density= 1.6830397839451016e-05
Pw_cl_graph_450000_2.2_0: nnz= 2399340, density= 1.7017562593154673e-05
Pw_cl_graph_450000_2.2_1: nnz= 2397254, density= 1.7007205898371383e-05
Pw_cl_graph_450000_2.2_2: nnz= 2315172, density= 1.6459319272085494e-05
Pw_cl_graph_450000_2.2_3: nnz= 2320336, density= 1.6462128620532972e-05
Pw_cl_graph_450000_2.2_4: nnz= 2402710, density= 1.7083022150935914e-05
Pw_cl_graph_450000_2.2_5: nnz= 2392712, density= 1.7006858066961576e-05
Pw_cl_graph_450000_2.2_6: nnz= 2390354, density= 1.6972717501607894e-05
Pw_cl_graph_450000_2.2_7: nnz= 2289438, density= 1.579467372815685e-05
Pw_cl_graph_450000_2.2_8: nnz= 2309472, density= 1.6428519122678573e-05
Pw_cl_graph_450000_2.2_9: nnz= 2291678, density= 1.632178545318067e-05
Pw_cl_graph_460000_2.2_0: nnz= 2449830, density= 1.6664883449265127e-05
Pw_cl_graph_460000_2.2_1: nnz= 2411350, density= 1.636767320379153e-05
Pw_cl_graph_460000_2.2_2: nnz= 2403544, density= 1.6303387412260742e-05
Pw_cl_graph_460000_2.2_3: nnz= 2369604, density= 1.614187513171824e-05
Pw_cl_graph_460000_2.2_4: nnz= 2384830, density= 1.62206924535398e-05
Pw_cl_graph_460000_2.2_5: nnz= 2414906, density= 1.6457518592040586e-05
Pw_cl_graph_460000_2.2_6: nnz= 2410236, density= 1.6411893978154083e-05
Pw_cl_graph_460000_2.2_7: nnz= 2414428, density= 1.64093367357476e-05
Pw_cl_graph_460000_2.2_8: nnz= 2572864, density= 1.741713102381009e-05
Pw_cl_graph_460000_2.2_9: nnz= 2343898, density= 1.5931318049501934e-05
Pw_cl_graph_470000_2.2_0: nnz= 2445234, density= 1.5943432520260675e-05
Pw_cl_graph_470000_2.2_1: nnz= 2425124, density= 1.583777891674666e-05
Pw_cl_graph_470000_2.2_2: nnz= 1838610, density= 9.661457119411711e-06
Pw_cl_graph_470000_2.2_3: nnz= 2503332, density= 1.6283551579569528e-05
Pw_cl_graph_470000_2.2_4: nnz= 2524786, density= 1.6423439604106564e-05
Pw_cl_graph_470000_2.2_5: nnz= 2458862, density= 1.6038841987148102e-05
Pw_cl_graph_470000_2.2_6: nnz= 2461060, density= 1.6018059263076032e-05
Pw_cl_graph_470000_2.2_7: nnz= 2463006, density= 1.6044803015651327e-05
Pw_cl_graph_470000_2.2_8: nnz= 2455888, density= 1.601600678322948e-05
