Pw_cl_graph_360000_1.8_1: nnz= 3936454, density= 3.5379952904359844e-05
Pw_cl_graph_360000_1.8_2: nnz= 4141952, density= 3.717385505453456e-05
Pw_cl_graph_360000_1.8_3: nnz= 5266644, density= 5.196626771058514e-05
Pw_cl_graph_360000_1.8_4: nnz= 6861338, density= 6.906638245120975e-05
Pw_cl_graph_360000_1.8_5: nnz= 4339990, density= 4.175483241934751e-05
Pw_cl_graph_360000_1.8_6: nnz= 5943280, density= 5.925681330335089e-05
Pw_cl_graph_360000_1.8_7: nnz= 5669308, density= 5.623681382242297e-05
Pw_cl_graph_360000_1.8_8: nnz= 7143860, density= 7.191710022787497e-05
Pw_cl_graph_360000_1.8_9: nnz= 4106838, density= 3.833068364328463e-05
Pw_cl_graph_370000_1.8_0: nnz= 1063596, density= 7.772590127874824e-06
Pw_cl_graph_370000_1.8_1: nnz= 6374614, density= 5.9739188351198704e-05
Pw_cl_graph_370000_1.8_2: nnz= 5405772, density= 4.9848925266684717e-05
Pw_cl_graph_370000_1.8_3: nnz= 4233790, density= 3.765124265994343e-05
Pw_cl_graph_370000_1.8_4: nnz= 6382822, density= 6.0459216862436786e-05
Pw_cl_graph_370000_1.8_5: nnz= 6761564, density= 6.418335040396236e-05
Pw_cl_graph_370000_1.8_6: nnz= 6378734, density= 5.982613896135125e-05
Pw_cl_graph_370000_1.8_7: nnz= 4287552, density= 3.8154150065235236e-05
Pw_cl_graph_370000_1.8_8: nnz= 4922254, density= 4.399522406133214e-05
Pw_cl_graph_370000_1.8_9: nnz= 3303552, density= 2.900804936260992e-05
Pw_cl_graph_380000_1.8_0: nnz= 5034850, density= 4.151826581557062e-05
Pw_cl_graph_380000_1.8_1: nnz= 6221440, density= 5.4949942669175194e-05
Pw_cl_graph_380000_1.8_2: nnz= 4738962, density= 3.8510478348912214e-05
Pw_cl_graph_380000_1.8_3: nnz= 7867102, density= 7.11845298410082e-05
Pw_cl_graph_380000_1.8_4: nnz= 6556654, density= 5.8257465492966826e-05
