Pw_cl_graph_330000_4_9: nnz= 2639956, density= 2.42420202020202e-05
Pw_cl_graph_330000_6_0: nnz= 3959896, density= 3.636268135904499e-05
Pw_cl_graph_330000_6_1: nnz= 3959872, density= 3.6362460973370066e-05
Pw_cl_graph_330000_6_2: nnz= 3959882, density= 3.636255280073462e-05
Pw_cl_graph_330000_6_3: nnz= 3959888, density= 3.636260789715335e-05
Pw_cl_graph_330000_6_4: nnz= 3959884, density= 3.636257116620753e-05
Pw_cl_graph_330000_6_5: nnz= 3959880, density= 3.6362534435261706e-05
Pw_cl_graph_330000_6_6: nnz= 3959896, density= 3.636268135904499e-05
Pw_cl_graph_330000_6_7: nnz= 3959880, density= 3.6362534435261706e-05
Pw_cl_graph_330000_6_8: nnz= 3959878, density= 3.63625160697888e-05
Pw_cl_graph_330000_6_9: nnz= 3959892, density= 3.636264462809917e-05
Pw_cl_graph_330000_8_0: nnz= 5279766, density= 4.8482699724517905e-05
Pw_cl_graph_330000_8_1: nnz= 5279782, density= 4.848284664830119e-05
Pw_cl_graph_330000_8_2: nnz= 5279800, density= 4.848301193755739e-05
Pw_cl_graph_330000_8_3: nnz= 5279784, density= 4.8482865013774105e-05
Pw_cl_graph_330000_8_4: nnz= 5279800, density= 4.848301193755739e-05
Pw_cl_graph_330000_8_5: nnz= 5279770, density= 4.8482736455463725e-05
Pw_cl_graph_330000_8_6: nnz= 5279766, density= 4.8482699724517905e-05
Pw_cl_graph_330000_8_7: nnz= 5279784, density= 4.8482865013774105e-05
Pw_cl_graph_330000_8_8: nnz= 5279804, density= 4.848304866850321e-05
Pw_cl_graph_330000_8_9: nnz= 5279782, density= 4.848284664830119e-05
Pw_cl_graph_330000_10_0: nnz= 6599658, density= 6.060292011019284e-05
Pw_cl_graph_330000_10_1: nnz= 6599652, density= 6.0602865013774104e-05
Pw_cl_graph_330000_10_2: nnz= 6599658, density= 6.060292011019284e-05
Pw_cl_graph_330000_10_3: nnz= 6599620, density= 6.060257116620753e-05
Pw_cl_graph_330000_10_4: nnz= 6599634, density= 6.0602699724517904e-05
Pw_cl_graph_330000_10_5: nnz= 6599642, density= 6.060277318640955e-05
Pw_cl_graph_330000_10_6: nnz= 6599658, density= 6.060292011019284e-05
Pw_cl_graph_330000_10_7: nnz= 6599644, density= 6.0602791551882464e-05
Pw_cl_graph_330000_10_8: nnz= 6599660, density= 6.060293847566575e-05
Pw_cl_graph_330000_10_9: nnz= 6599684, density= 6.060315886134068e-05
Pw_cl_graph_340000_2_0: nnz= 1359992, density= 1.1764636678200693e-05
Pw_cl_graph_340000_2_1: nnz= 1359992, density= 1.1764636678200693e-05
Pw_cl_graph_340000_2_2: nnz= 1359992, density= 1.1764636678200693e-05
Pw_cl_graph_340000_2_3: nnz= 1359992, density= 1.1764636678200693e-05
Pw_cl_graph_340000_2_4: nnz= 1359992, density= 1.1764636678200693e-05
Pw_cl_graph_340000_2_5: nnz= 1359992, density= 1.1764636678200693e-05
Pw_cl_graph_340000_2_6: nnz= 1359992, density= 1.1764636678200693e-05
Pw_cl_graph_340000_2_7: nnz= 1359992, density= 1.1764636678200693e-05
Pw_cl_graph_340000_2_8: nnz= 1359992, density= 1.1764636678200693e-05
Pw_cl_graph_340000_2_9: nnz= 1359992, density= 1.1764636678200693e-05
Pw_cl_graph_340000_4_0: nnz= 2719952, density= 2.3528996539792386e-05
Pw_cl_graph_340000_4_1: nnz= 2719956, density= 2.352903114186851e-05
Pw_cl_graph_340000_4_2: nnz= 2719956, density= 2.352903114186851e-05
Pw_cl_graph_340000_4_3: nnz= 2719948, density= 2.3528961937716262e-05
Pw_cl_graph_340000_4_4: nnz= 2719964, density= 2.352910034602076e-05
Pw_cl_graph_340000_4_5: nnz= 2719964, density= 2.352910034602076e-05
Pw_cl_graph_340000_4_6: nnz= 2719962, density= 2.35290830449827e-05
Pw_cl_graph_340000_4_7: nnz= 2719948, density= 2.3528961937716262e-05
Pw_cl_graph_340000_4_8: nnz= 2719960, density= 2.3529065743944635e-05
Pw_cl_graph_340000_4_9: nnz= 2719944, density= 2.3528927335640137e-05
Pw_cl_graph_340000_6_0: nnz= 4079872, density= 3.529301038062284e-05
Pw_cl_graph_340000_6_1: nnz= 4079890, density= 3.52931660899654e-05
Pw_cl_graph_340000_6_2: nnz= 4079876, density= 3.5293044982698965e-05
Pw_cl_graph_340000_6_3: nnz= 4079876, density= 3.5293044982698965e-05
Pw_cl_graph_340000_6_4: nnz= 4079898, density= 3.529323529411765e-05
Pw_cl_graph_340000_6_5: nnz= 4079888, density= 3.5293148788927335e-05
Pw_cl_graph_340000_6_6: nnz= 4079886, density= 3.529313148788927e-05
Pw_cl_graph_340000_6_7: nnz= 4079892, density= 3.529318339100346e-05
Pw_cl_graph_340000_6_8: nnz= 4079882, density= 3.529309688581315e-05
Pw_cl_graph_340000_6_9: nnz= 4079872, density= 3.529301038062284e-05
